"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"19/04/11","Informal","4.215",""
"20/04/11","Casas de cambio","4.100",""
"20/04/11","Informal","4.223",""
"25/04/11","Casas de cambio","4.100",""
"25/04/11","Informal","4.248",""
"26/04/11","Casas de cambio","4.100",""
"26/04/11","Informal","4.275",""
"27/04/11","Casas de cambio","4.105",""
"27/04/11","Informal","4.285",""
"28/04/11","Casas de cambio","4.105",""
"28/04/11","Informal","4.325",""
"29/04/11","Casas de cambio","4.105",""
"29/04/11","Informal","4.305",""
"02/05/11","Casas de cambio","4.110",""
"02/05/11","Informal","4.265",""
"03/05/11","Casas de cambio","4.110",""
"03/05/11","Informal","4.285",""
"04/05/11","Casas de cambio","4.110",""
"04/05/11","Informal","4.273",""
"05/05/11","Casas de cambio","4.110",""
"05/05/11","Informal","4.270",""
"06/05/11","Casas de cambio","4.110",""
"06/05/11","Informal","4.268",""
"09/05/11","Casas de cambio","4.110",""
"09/05/11","Informal","4.268",""
"10/05/11","Casas de cambio","4.110",""
"10/05/11","Informal","4.275",""
"11/05/11","Casas de cambio","4.110",""
"11/05/11","Informal","4.283",""
"12/05/11","Casas de cambio","4.110",""
"12/05/11","Informal","4.285",""
"13/05/11","Casas de cambio","4.110",""
"13/05/11","Informal","4.288",""
"16/05/11","Casas de cambio","4.115",""
"16/05/11","Informal","4.293",""
"17/05/11","Casas de cambio","4.115",""
"17/05/11","Informal","4.315",""
"18/05/11","Casas de cambio","4.120",""
"18/05/11","Informal","4.320",""
"19/05/11","Casas de cambio","4.120",""
"19/05/11","Informal","4.333",""
"20/05/11","Casas de cambio","4.120",""
"20/05/11","Informal","4.333",""
"23/05/11","Casas de cambio","4.120",""
"23/05/11","Informal","4.340",""
"24/05/11","Casas de cambio","4.120",""
"24/05/11","Informal","4.350",""
"26/05/11","Casas de cambio","4.120",""
"26/05/11","Informal","4.343",""
"27/05/11","Casas de cambio","4.120",""
"27/05/11","Informal","4.343",""
"30/05/11","Casas de cambio","4.120",""
